Rank	Score	ADR	r_Drugname	Support	Confidence	Drug1	Support1	Confidence1	Drug2	Support2	Confidence2	id
22	0.436063449	Toxicity to various agents	[Paracetamol] [DIAZEPAM]	11	61.1111	Paracetamol	21	16.4062	DIAZEPAM	67	15.2273	"105029651,105030091,105030131,105030161,105030171,105030181,105161131,105161141,105161711,105161731,105161781,105161801,105163621,105163631,105163881,105163911,105163941,105164031,105197521,105307501,105688891,106842371,72598992"
23	0.432115296	Psychotic disorder	[DIAZEPAM] [ABILIFY]	10	76.9231	DIAZEPAM	19	4.31818	ABILIFY	34	9.65909	"104572592,105497323,105619991,105689151,105693631,105700611,105778331,105817001,105872721,105885391,106226272,106337562"
25	0.421909426	Platelet count decreased	[RIBAVIRIN] [URSO]	10	58.8235	URSO	14	14.2857	RIBAVIRIN	119	12.3444	"103318095,103330614,103672403,104289613,104804273,104879443,104955672,105085532,105094441,105146852,105146862,105638051,106403621,106721541,106785711"
28	0.411349462	Malaise	[LISINOPRIL] [PARACETAMOL]	12	46.1538	LISINOPRIL	32	2.18579	PARACETAMOL	24	2.47168	"104856171,104901371,104952201,104961661,104964711,104966651,105067881,105078451,105106501,105116651,106344591,106359941,106386021,106459981"
29	0.410433606	Disease progression	[FLUOROURACIL] [AVASTIN]	81	67.5	FLUOROURACIL	87	16.3534	AVASTIN	132	22.1106	"104501992,105652773,105728431,105749301,105875453,105911801,105912121,105917581,105918821,105918911,105919331,105934941,105935381,105936141,105937151,105938891,105940371,105941671,105948901,105970581,105974351,105975491,105977161,105977401,106000021,106336461,106362281,106362291,106362381,106362411,106382671,106382871,106387341,106389281,106389311,106389351,106389791,106390331,106390381,106390421,106395671,106395771,106414191,106414651,106415041,106415291,106417961,106420591,106444911,106445011,106445871,106446031,106446251,106467191,106467301,106467611,106467781,106471261,106473071,106476241,106476741,106477891,106478461,106479011,106482161,106508461,106508971,106509241,106512631,106513081,106513231,106513481,106514521,106524461,106525301,106528411,106533651,106535121,106535741,106567841,106571811,106609601,106609621,106610691,89011942,99487233"
30	0.404603609	Paraesthesia	[PREGABALIN] [SERTRALINE]	10	83.3333	SERTRALINE	13	1.96672	PREGABALIN	11	5.75916	"101363722,101444172,101499722,101500672,104897001,104964622,106567941,106597111,106618371,106735451,106742931,106746251,106758171,106780641"
31	0.403843587	Platelet count decreased	[RIBAVIRIN] [MUCOSTA]	18	75	RIBAVIRIN	119	12.3444	MUCOSTA	23	22.7723	"102650774,103295194,103570144,103647723,103672403,104289613,104353412,104493594,104768543,104879443,104938603,105085532,105114361,105146862,105331321,105527271,105560213,105674802,106022282,106407771"
32	0.402957218	Drug abuse	[TAVOR] [PAROXETINE]	11	73.3333	PAROXETINE	41	16.1417	TAVOR	24	25.8065	"105033714,105036391,105037372,105050633,105057632,105061074,105157042,105158202,105199941,105335762,106531621,106545441,106568591,106579251,106999182"
33	0.380825169	Osteonecrosisofjaw	[XGEVA] [ZOMETA]	37	88.0952	XGEVA	115	20.4626	ZOMETA	169	41.1192	"101423182,102040773,104966471,104984841,105010661,105056771,105134691,105176981,105179171,105208241,105209061,105234641,105298491,105331481,105335231,105428211,105583811,105584291,105589511,105591621,105623631,105623831,105670912,105691433,105695841,106144971,106150301,106150482,106150601,106150611,106186611,106192881,106425911,106488461,106494471,106513711"
35	0.375497213	Pneumonia	[JANUVIA] [LISINOPRIL]	12	54.5455	LISINOPRIL	39	2.66393	JANUVIA	24	4.56274	"102103203,103792966,105747291,105990031,106018301,106031963,106091511,106122291,106166951,106197181,106210821,106233171,106368441,106696362,83009564,99227703"
37	0.368400346	Substanceabuse	[ALCOHOL] [OXYCONTIN]	13	92.8571	OXYCONTIN	34	6.36704	ALCOHOL	21	21	"100873552,101899402,105166561,105227011,105262362,105262442,105321371,105325011,105965952,106068802,106212901,106459811,96270063,96588132"
38	0.361666806	Acute kidney injury	[COCODAMOL] [NAPROXEN]	15	60	COCODAMOL	31	15.3465	NAPROXEN	34	9.39227	"105661531,105738921,105750161,105778211,105799891,105802241,105818101,105855081,105895131,105895521,105903281,105930071,106625871,106634841,106676711,106711661,106756361,106760891,106816381"
39	0.359968702	"Confusional state,Dehydration,Hyperpyrexia,Hyperhidrosis,Tremor,Hypophagia,Acidosis"	[LACTULOSE] [DIAZEPAM]	10	71.4286	LACTULOSE	10	6.21118	DIAZEPAM	10	2.27273	"105473811,105499341,105564801,105579341,105607661,105618221,105651681,105665501,105718011,105754411"
41	0.351555653	Infusionrelatedreaction	[ACETAMINOPHEN] [METHYLPREDNISOLONE]	14	41.1765	METHYLPREDNISOLONE	21	5.21092	ACETAMINOPHEN	20	5.42005	"100243749,100379575,100518356,101639053,1018707714,102857816,103704923,104516908,104750294,104831465,105235212,105235533,105532073,105619053,105679343,105806182,106004441,106211893,106651021,817820514,842254018,84296088,849447810,86583472,88663545,88812084,89275535,898750316,90640367,91438854,92260405,93467896,94015396,944173118,94752706,94854704,95233949,95358128,95510676,96396608,96431296,968919411,970946011,97281193,98618294,98743874"
42	0.349911791	Psychotic disorder	[DIAZEPAM] [OLANZAPINE]	12	46.1538	DIAZEPAM	19	4.31818	OLANZAPINE	17	5.82192	"104572592,105591892,105593911,105608821,105619991,105656521,105689151,105693631,105700611,105716101,105746271,105817001"
43	0.345435566	Psychotic disorder	[LORAZEPAM] [DIAZEPAM]	10	47.619	DIAZEPAM	19	4.31818	LORAZEPAM	14	2.7833	"105497323,105591892,105593911,105608821,105619991,105656521,105700611,105716101,105746271,106226272,106337562"
44	0.34535976	White blood cell count decreased	[RIBAVIRIN] [MUCOSTA]	12	50	RIBAVIRIN	102	10.5809	MUCOSTA	13	12.8713	"102650774,102733293,103295194,103570144,103647723,103672403,104289613,104353412,104938603,105114361,105560213,105674802,105967092,106214761"
45	0.341849266	Drug abuse	[FLUOXETINE] [DIAZEPAM]	10	66.6667	DIAZEPAM	67	15.2273	FLUOXETINE	23	6.74487	"103670732,103767872,103923033,103954902,105237281,105256001,105282621,105435231,106236471,106386111,106393881"
46	0.34048709	Vomiting	[XELODA] [DEXAMETHASONE]	11	84.6154	DEXAMETHASONE	37	2.31975	XELODA	30	8.47458	"104718375,105200271,105234382,105279591,105306272,105314653,105326691,105376941,105411863,105423432,105432651,105480952,105489552,105513362,105522732"
47	0.34033569	Pancreatic carcinoma	[JANUVIA] [VICTOZA]	12	80	JANUVIA	35	6.65399	VICTOZA	40	19.5122	"100704172,101741312,102195026,102763572,103853142,104059142,104153813,104550452,104670102,104738183,105243182,105620371,105656682,105682781,105742052,105935341,106102071"
48	0.336261117	"Platelet count decreased,Pyrexia"	[PEGINTRON] [MUCOSTA]	10	47.619	PEGINTRON	34	12.4088	MUCOSTA	11	10.8911	"101113663,102650774,103295194,103570144,104493594,104768543,104938603,105331321,105560213,106022282,106407771"
49	0.331897531	Death	[AZTREONAMLYSINE] [TOBI]	12	80	AZTREONAMLYSINE	85	46.9613	TOBI	35	33.9806	"106391031,106391161,106393171,106393201,106393221,106411131,106419401,106443931,106446401,106473661,106491451,106491481"
52	0.328142521	Maternal exposure before pregnancy	[ENDOXANBAXTER] [LEUPRORELIN]	16	94.1176	ENDOXANBAXTER	16	11.8519	LEUPRORELIN	16	38.0952	"106083911,106083931,106083951,106083971,106083981,106084111,106085861,106085901,106085911,106085931,106085941,106085971,106085981,106086041,106086051,106086171"
53	0.327854549	Acute kidney injury	[BISOPROLOL] [SPIRONOLACTONE]	10	45.4545	SPIRONOLACTONE	34	9.13979	BISOPROLOL	45	7.1656	"105841711,105872421,105882841,105939831,105939931,105947501,105969701,105995481,106005631,106005711,106020401,106027421,106028052,106029331,106053701,106053821,106062202,106062671,106066531,106073641,106076592,106086591,106086601,106086701,106110801"
54	0.31942669	Drug resistance	[LAMIVUDINE] [ENTECAVIR]	27	96.4286	ENTECAVIR	32	58.1818	LAMIVUDINE	45	23.4375	"105855452,105855492,105855502,105855522,105855592,105887252,105887262,105887282,105887572,105887632,105923401,105923441,105923471,105923611,105923691,105954491,105954531,105954551,105954581,105954851,105994582,105994952,105995132,105995142,106164781,106186061,106188911,106188951,106188971,106518621,86021052"
55	0.314775474	"Intramedullaryrodinsertion,Femurfracture"	[FOSAMAX] [ALENDRONATESODIUM]	13	46.4286	ALENDRONATESODIUM	13	8.55263	FOSAMAX	16	5.71429	"100037647,100318416,100891376,101213486,101531667,101628234,101912235,102442344,102451493,102555445,102558516,102660766,102813874,102850945,102884286,102901407,103298294,105312535,105736833,81764787,84539004,84659804,857849211,86459967,86693455,87222796,87595526,87680019,87739876,87957385,87992727,88289515,88313476,88321887,88438175,88550726,885892610,88609577,88741237,88789997,88900864,89044497,89045175,89045868,89097749,89105284,89175324,89411356,89476437,89500816,89744865,89962667,90055876,90067574,90100424,90100957,90180689,90255166,90307976,90605736,91213967,91240743,91241425,91542185,91696506,91800878,91903947,92174329,92287057,92660758,92688417,92871434,92910044,93224453,93485105,93496788,93609775,93701375,93932906,94080484,941560610,94369853,94545874,94642656,94668425,95132635,95166954,95300365,95872595,95966564,96308943,96331846,97068855,97208796,97211625,97443588,97691645,97693075,97864985,97865005,97920867,97922457,97929667,98165563,98695166,98700434,98937555,98980027,99165254,99954025"
57	0.301200996	Toxicity to various agents	[IBUPROFEN] [DIAZEPAM]	14	73.6842	DIAZEPAM	67	15.2273	IBUPROFEN	37	4.71338	"105030091,105030161,105120461,105161781,105161801,105163881,105163941,105274451,105451122,105472161,105502612,105522291,105523311,105594341,105609791,105618262,105846621,106842371"
58	0.299418879	Disease progression	[AVASTIN] [LEUCOVORIN]	77	93.9024	AVASTIN	132	22.1106	LEUCOVORIN	79	57.6642	"104501992,105911801,105912121,105917581,105918821,105918911,105919331,105934941,105935381,105936141,105937151,105938891,105940371,105941671,105948901,105970581,105974351,106000021,106336461,106362281,106362381,106362411,106382671,106382871,106387341,106389281,106389311,106389351,106389791,106390381,106390421,106394851,106395671,106395771,106414191,106414651,106415041,106415291,106417961,106420591,106444911,106445011,106445871,106446031,106446251,106467191,106467301,106467611,106467781,106471261,106473071,106476241,106476741,106477891,106478461,106479011,106482161,106508461,106508971,106509241,106512631,106513081,106513231,106513481,106514521,106524461,106525301,106528411,106533651,106535121,106535741,106567841,106571811,106609601,106609621,106610691,89011942,99487233"
59	0.298361823	"Transient ischaemic attack,Cerebro vascular accident"	[LIPITOR] [CRESTOR]	10	37.037	LIPITOR	13	0.967982	CRESTOR	11	1.3597	"105804421,105918711,105944661,105973311,106053801,106083061,106086531,106093941,106110991,106135831"
63	0.292577078	White blood cell count decreased	[LOXONIN] [RIBAVIRIN]	10	41.6667	LOXONIN	13	8.96552	RIBAVIRIN	102	10.5809	"102468655,103098614,103330614,103672403,104353412,105150532,105261641,105674802,105728511,106273811"
64	0.291588948	Acute kidney injury	[DIGOXIN] [LANSOPRAZOLE]	10	45.4545	LANSOPRAZOLE	14	2.4055	DIGOXIN	18	4.52261	"105882841,105910361,105974711,106005631,106027421,106028052,106055791,106062202,106063131,106073691,106076592,106086801,106137381"
66	0.283649064	Offlabeluse	[SOFOSBUVIR] [SIMEPREVIR]	26	54.1667	SOFOSBUVIR	56	23.7288	SIMEPREVIR	38	17.2727	"101805606,102600222,104729372,105713001,105747841,105747961,105802341,105821312,105821332,105821342,105821352,105821361,105821382,105821783,105821802,105836651,105836662,105836692,105836871,105836892,105849433,105849891,105849912,105934531,106171511,106171581,106225871"
67	0.282532185	Femurfracture	[FOSAMAX] [BONIVA]	10	76.9231	FOSAMAX	117	41.7857	BONIVA	23	50	"100188744,102452183,105095461,105121412,105169151,105173811,105207871,105301941,105424641,105938862,106732841,77400742,86764224,87223355,873025410,87379518,873847210,87593396,87739876,87992967,88028348,88591475,88626377,89057796,89897237,90605736,91032592,91065395,91260575,93159233,94151943,94545874,95132635,96109704,96319767,96679247,97693075"
68	0.281992629	Cystic fibrosis	[TOBIPODHALER] [TOBI]	17	62.963	TOBIPODHALER	33	33.6735	TOBI	24	23.301	"100574403,101314623,101585342,101678574,102363892,102402752,102719952,103929572,104055512,104111082,104141772,104427112,104710732,104988461,105056922,105057451,105093832,105095062,105150242,105206622,105259341,105313331,105424081,105451763,105496594,105530311,105536771,105601712,105703551,105711891,105847982,105991853,106010361,106082311,106222721,106457072,106457801,106498171,106658901,106844831,95035245,97356582"
69	0.279683695	Pyrexia	[RIBAVIRIN] [MUCOSTA]	11	45.8333	RIBAVIRIN	82	8.50622	MUCOSTA	13	12.8713	"102650774,102733293,103295194,103570144,104289613,104493594,104768543,104938603,105331321,105560213,106022282,106407771"
70	0.279465081	Druginteraction	[RITONAVIR] [DOCETAXEL]	10	100	DOCETAXEL	12	2.35294	RITONAVIR	17	13.1783	"105024911,105818182,106078821,106078831,106078841,106078851,106078861,106080891,106080911,106080931"
71	0.279063801	Myocardial infarction	[PLAVIX] [ECOTRIN]	14	56	ECOTRIN	24	26.3736	PLAVIX	313	19.0158	"101064492,101067012,101077692,101090812,101097212,101101812,101106262,101108942,101111672,101113962,101121422,101131972,101192192,101205972,101206332,101213182,105039512,105497502,106784791,106806791"
72	0.275856761	Dyspnoea	[VENTOLINHFA] [SPIRIVA]	10	41.6667	VENTOLINHFA	37	12.892	SPIRIVA	95	13.6494	"104133663,104879511,105085224,105259211,105634871,105710393,105833221,105939721,105966142,106600271,106684061,106696661"
74	0.275	Femurfracture	[BONIVA] [ACTONEL]	12	100	BONIVA	23	50	ACTONEL	13	12.5	"100188744,102049922,102403632,102408362,106424051,106732841,106737571,86764224,87089423,87223355,88028348,88626377,89057796,90167194,91032592,95873022,96498913"
75	0.27480814	Drug abuse	[ALPRAZOLAM] [OXYCODONE]	15	48.3871	OXYCODONE	73	17.8922	ALPRAZOLAM	69	12.7072	"105895801,106236461,106254251,106255981,106348481,106356741,106356871,106362891,106362931,106363081,106363191,106363431,106386111,106386141,106393851,106482131,106588292"
76	0.274796265	Gynaecomastia	[INVEGA] [RISPERDAL]	329	97.9167	RISPERDAL	337	55.8872	INVEGA	334	75.395	"101005313,104506722,104522663,105074985,105492846,105550061,93438984"
78	0.270436957	Type2 diabetes mellitus	[LIPITOR] [MULTIVITAMINS]	18	78.2609	MULTIVITAMINS	18	15.5172	LIPITOR	558	41.5488	"102821765,104457913,104541842,104575252,104977972,105056952,105567963,105577723,105578742,105578783,105603823,105666103,105769843,105822172,106071272,94913063,98786603,98786893"
79	0.270212069	Cerebro vascular accident	[AGGRENOX] [AVANDIA]	12	75	AGGRENOX	18	43.9024	AVANDIA	986	20.1224	"101049722,101066092,101072962,101100692,101107302,101117902,101118472,101208422,101232622,101238762,103174542,105393582"
82	0.26260959	Toxicity to various agents	[DULOXETINE] [DIAZEPAM]	23	79.3103	DULOXETINE	46	42.9907	DIAZEPAM	67	15.2273	"105029651,105030091,105030131,105030161,105030171,105030181,105031621,105079081,105079151,105161101,105161131,105161141,105161711,105161731,105161781,105161801,105163621,105163631,105163671,105163711,105163881,105163911,105163921,105163941,105164031,105197521,106998551,106998562,106998651,106999281,106999342,106999642,106999652"
84	0.261857671	Drug abuse	[PARACETAMOL] [METHADONE]	12	70.5882	PARACETAMOL	48	4.94336	METHADONE	36	17.4757	"106252731,106255831,106255901,106356741,106362161,106362191,106362921,106362971,106363271,106363291,106363301,106363351"
87	0.259109271	Pyrexia	[PEGINTRON] [MUCOSTA]	11	52.381	PEGINTRON	60	21.8978	MUCOSTA	13	12.8713	"101113663,102650774,102733293,103295194,103570144,104493594,104768543,104938603,105331321,105560213,106022282,106407771"
89	0.256409626	Drug abuse	[OXYCODONE] [DIAZEPAM]	12	44.4444	OXYCODONE	73	17.8922	DIAZEPAM	67	15.2273	"106221601,106252721,106254281,106254321,106254331,106258291,106258321,106357941,106363031,106363081,106363231,106363271,106363531,106386111,96603343"
91	0.25298581	Druginteraction	[METFORMIN] [DIAZEPAM]	10	62.5	METFORMIN	38	2.24852	DIAZEPAM	35	7.95455	"104572592,105579392,105598401,105617881,105619991,105642901,105689151,105693631,105700611,105774531,105817001"
92	0.250533083	Prematurebaby	[PANTOPRAZOLE] [CITALOPRAM]	11	28.9474	CITALOPRAM	14	1.68472	PANTOPRAZOLE	11	1.41935	"105828151,105828231,105845841,105906242,105906372,105936611,105986621,106002881,106015091,106167201,106167221"
94	0.248458007	"Restlessness,Agitationneonatal"	[CITALOPRAM] [SEROQUEL]	11	39.2857	SEROQUEL	11	2.6506	CITALOPRAM	11	1.32371	"105057661,105131641,105144161,105221691,105257861,105279651,105288121,105300801,105664621,105697781,105799521,105807921,105858711,105861121,105903181"
96	0.246893383	"Prematurebaby,Feedingdisorderneonatal"	[PANTOPRAZOLE] [CITALOPRAM]	10	26.3158	CITALOPRAM	11	1.32371	PANTOPRAZOLE	10	1.29032	"105828151,105828231,105845841,105906242,105906372,105986621,106002881,106015091,106167201,106167221"
97	0.246275096	Myalgia	[SIMVASTATIN] [CRESTOR]	14	63.6364	SIMVASTATIN	253	12.9478	CRESTOR	30	3.70828	"105549092,105588721,105697362,105721541,105738823,105801661,105902723,105919171,105947461,105973792,106029381,106055521,106074871,106089541,106096651,106122641,106126391,80222655,97775674,98508964"
98	0.246232715	Myocardial infarction	[PLAVIX] [METOPROLOL]	56	45.5285	PLAVIX	313	19.0158	METOPROLOL	143	14.0196	"101029142,101032482,101046692,101048432,101051462,101067832,101069182,101069212,101070232,101071592,101072032,101072752,101076382,101077432,101077692,101078852,101081002,101090252,101091852,101093202,101093842,101094802,101094872,101095482,101095932,101097212,101098892,101099402,101102972,101103032,101105062,101107762,101108322,101109102,101109112,101110902,101110922,101117892,101118272,101119292,101120552,101120782,101121422,101128672,101135852,101142992,101171482,101185772,101189692,101192192,101199382,101201182,101205102,101205762,101206392,101207062,101207242,101208982,101209382,101211862,101215742,101247422,101250322,101257322,103138284,103168812,103198472,104556483,104586093,104647304,104745413,104807512,104958302,104987611,105223762,105246142,105303454,105394432,105394482,105394562,105394572,105394582,105546921,105861761,105966371,106187871,106349991,106805411,106806791,106806981,85537894,86119205,91690524,98321844,98344283,98546814"
100	0.243082786	Dyspnoea	[CLOPIDOGREL] [RAMIPRIL]	11	31.4286	CLOPIDOGREL	31	5.75139	RAMIPRIL	42	5.03597	"104437952,104487823,104489832,104504812,104533792,104585472,104588422,104652382,104655032,104793162,105227721,105961701,106167231"
101	0.241906522	"Bradyphrenia,Bradykinesia"	[LASIX] [PAROXETINE]	10	62.5	LASIX	21	1.75292	PAROXETINE	17	6.69291	"105023391,105033714,105050633,105057632,105061074,105129411,105131671,105157042,105158202,105165391,105199941,105200101,105306941,105335762,106999182,106999941"
102	0.241598336	Acute kidney injury	[LOSARTAN] [BENDROFLUMETHIAZIDE]	12	57.1429	LOSARTAN	26	4.59364	BENDROFLUMETHIAZIDE	22	13.6646	"104672322,104821042,105126091,105150521,105229661,105268181,105281311,105347341,105370391,105723241,105750331,105774761,105778321,105892451,105897961,105903241,105932341"
103	0.241195907	"Drug resistance, Genotype drug resistance test, Viral infection"	[LAMIVUDINE] [ENTECAVIR]	24	85.7143	ENTECAVIR	28	50.9091	LAMIVUDINE	29	15.1042	"105855452,105855492,105855502,105855522,105855592,105887252,105887262,105887282,105887572,105887632,105923401,105923441,105923471,105923611,105923691,105954491,105954531,105954551,105954581,105954851,105994582,105994952,105995132,105995142,106186061,106188911,106188951,106188971"
104	0.240671474	Drug abuse	[OXYCODONE] [DEXTROMETHORPHAN]	10	100	OXYCODONE	73	17.8922	DEXTROMETHORPHAN	31	67.3913	"106252801,106252811,106357941,106362201,106362931,106362971,106363101,106363291,106363611,106384101"
105	0.239502722	Toxicity to various agents	[CODEINE] [DULOXETINE]	11	78.5714	DULOXETINE	46	42.9907	CODEINE	24	13.4078	"105029651,105030091,105030161,105030181,105030221,105079161,105161181,105161191,105161711,105161731,105161781,105161801,105163731,105163881,105163901,105163911,105163941,105164031,105197521,106998562,106998651,106999321,106999342,106999431"
107	0.237069186	"Cystic fibrosis,Conditionaggravated"	[TOBIPODHALER] [TOBI]	15	55.5556	TOBIPODHALER	30	30.6122	TOBI	20	19.4175	"100574403,101314623,101585342,101678574,102363892,102402752,102719952,103929572,104055512,104111082,104141772,104427112,104710732,105056922,105057451,105093832,105150242,105313331,105424081,105451763,105496594,105530311,105536771,105601712,105703551,105711891,105847982,105991853,106082311,106222721,106457072,106457801,106498171,106658901,106844831,95035245,97356582"
108	0.231726864	Drug resistance	[ADEFOVIR] [LAMIVUDINE]	11	91.6667	LAMIVUDINE	45	23.4375	ADEFOVIR	11	68.75	"105855452,105855492,105855502,105855522,105855592,105867932,105868072,105887252,105887262,105887282,105887292,105887572,105887632,105895211,105923291,105923401,105923441,105923471,105923611,105923691,105954491,105954531,105954551,105954581,105954851,105955681,105994582,105994952,105995132,105995142,106164781,106178521,106186061,106188911,106188951,106188971,106205201,106206401,106414362,106488851,106518621,106645082,97758632"
109	0.231320483	Sinusitis	[PRIVIGEN] [DIPHENHYDRAMINE]	12	35.2941	DIPHENHYDRAMINE	12	6.31579	PRIVIGEN	18	8.82353	105534411
110	0.226247279	"Toxicity to various agents,Cardiacdisorder,Substanceabuse"	[SUBUTEX] [DIAZEPAM]	10	83.3333	SUBUTEX	11	12.9412	DIAZEPAM	10	2.27273	"105120461,105274451,105451122,105472161,105502612,105522291,105523311,105594341,105609791,105618262,105846621"
111	0.22550587	Pancreatic carcinoma	[JANUVIA] [BYETTA]	14	77.7778	JANUVIA	35	6.65399	BYETTA	38	28.7879	"100252132,100770606,101741312,102763572,103853142,104059142,104153813,104550452,104670102,104738183,104750142,104802852,105620371,105682781,105935341,106102071,106212702,106624912,106857852,94153326,96298243,97087763,98487814,98946912,99888684"
