Rank	Score	No_of_Drugs	ADR	intr_drugs	Support	Confidence	Drug1	Support1	Confidence1	Drug2	Support2	Confidence2	id
173	0.16555171	2	[Crohnsdisease]	[REMICADE] [HUMIRA]	18	22.5	HUMIRA	162	5.17241	REMICADE	60	5.54017	"1,022,079,831,045,960,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
178	0.164067531	2	[Impairedworkability]	[ANDROGEL] [TESTIM]	19	42.2222	ANDROGEL	89	25.8721	TESTIM	23	25.5556	"104976011,105048371,105050211,105156071,105156171,105299011,105522332,105540311,105541971,105617391,105664731,105669571,105777111,105835511,105835691,105835851,105836131,105927681,106058911,106198651,106204001,106382991,106383141,106409241,106428071,106446071,106638821,106638851,106638911,106718401,106720591,106723591,106778111,106836021"
179	0.163339353	2	[Offlabeluse] [Toxicanteriorsegmentsyndrome] [Circumstanceorinformationcapableofleadingtomedicationerror] [Intentionalproductuseissue]	[BSS] [MOXEZA]	10	100	MOXEZA	10	100	BSS	10	52.6316	"105,422,792,105,422,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
182	0.16274349	2	[Drugdependence]	[PERCOCET] [OXYCONTIN]	10	37.037	OXYCONTIN	88	16.4794	PERCOCET	15	8.06452	"104,961,411,105,319,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
187	0.159628211	2	[Substanceabuse]	[OXYCONTIN] [HEROIN]	10	76.9231	OXYCONTIN	34	6.36704	HEROIN	21	37.5	"105,320,051,105,320,000,000,000,000,000,000,000"
191	0.157133787	2	[Crohnsdisease]	[HUMIRA] [AZATHIOPRINE]	13	20.9677	AZATHIOPRINE	19	5.09383	HUMIRA	162	5.17241	"10,436,742,310,487,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
203	0.149951175	2	[Substanceabuse]	[OXYCONTIN] [MARIJUANA]	11	91.6667	OXYCONTIN	34	6.36704	MARIJUANA	14	48.2759	"105,168,981,106,203,000"
208	0.149209129	2	[Syncope] [Dermatitisexfoliative] [Swellingface] [Eyeswelling] [Rash]	[SPIRIVA] [FLUTICASONE]	10	71.4286	SPIRIVA	10	1.43678	FLUTICASONE	10	11.1111	"105,047,461,105,308,000,000,000,000"
211	0.147362938	2	[Drugabuse]	[OXYCODONE] [PARACETAMOL]	25	45.4545	OXYCODONE	73	17.8922	PARACETAMOL	48	4.94336	"106,260,811,106,362,000"
219	0.142949784	2	[Myocardialinfarction]	[PLAVIX] [ASPIRIN]	185	33.1541	PLAVIX	313	19.0158	ASPIRIN	474	15.8847	"100799992,100800552,100809182,100810752,101690842,101690892,101691022,101691972,101715922,101731642,102384882,102414862,102916632,102984592,102984922,102991132,102994342,103929543,104572842,104860272,104867232,105079451,105251301,105277561,105304461,105661161,105875721,105927801,105933891,106105692,106221901,106336241,106556971,106802491,106802501,106802521,106802531,106802541,106802551,106802561,106802571,106802611,106802621,106802631,106802641,106802651,106802671,106802691,106802701,106802711,106802741,106802751,106802771,106802781,106802791,106802801,106802811,106802821,106802831,106802841,106802861,106802881,106802891,106802901,106802921,106802941,106803541,106803621,106803661,106803671,106803681,106803691,106803701,106803711,106803721,106803731,106803741,106803751,106803761,106803771,106803781,106803791,106803801,106803811,106803821,106803831,106803851,106803861,106803871,106803881,106803891,106803901,106803911,106803921,106803931,106803941,106803951,106803961,106803971,106803981,106803991,106804011,106804041,106804051,106804061,106804071,106804081,106804101,106804111,106804121,106804131,106804171,106804311,106804321,106804331,106804341,106804351,106804361,106804371,106804381,106804391,106804401,106804411,106804421,106804431,106804441,106804451,106804461,106804471,106804481,106804491,106804501,106804511,106804521,106804531,106804541,106804551,106804561,106804581,106804601,106804611,106804631,106804641,106804651,106804661,106804671,106804681,106804691,106804701,106804741,106804751,106804761,106804771,106804781,106804791,106804811,106804911,106804921,106804931,106804941,106804951,106804961,106804971,106804981,106804991,106805001,106805011,106805021,106805031,106805041,106805051,106805061,106805071,106805081,106805091,106805101,106805121,106805141,106805151,106805161,106805171,106805181,106805191,106805211,106805241,106805251,106805261,106805271,106805591,106805761,106805771,106805791,106805891,106805931,106806611,106806901,106807422,106807432,106807442,106807452,106807462,106807522,81725853,83434523,84474873,85400003,90567712,90567892,90888102,90890162,90895332,90933222,91616062,91667302,97061283,97061293,97061313,97061323,97061353,97061373,97061403,97061423,97061443,97061453,97061463,97061473,97061493,97061503,97061523,97061563,97061573,97061583,97061593,97061603,98094633,98094673,98094683,98094693,98094733,98094743,98094753,98094763,98094783,98094793,98094803,98094813,98094843,98094883,98094913,98094923,98094943,98094953,98094973,98094983,98095013,98095023,98095073,98095083,98095103,98095113,98095133,98095173,98095203,98095263,98095283,98095313,98095323,98095333,98095343,98095393,98095423,98095433,98095453,98095463,98095473,98095483,98095513,98095533,98095543,98095593,98095603,98095613,98095633,98095643,98095683,98095693,98095713,98095743,98095773,98095793,98095813,98095823,98095833,98095863,98095873,98095893,98095903,98095923,98095933,98095953,98095962,98095973,98096002,98096013,98096023,98096033,98096053,98096083,98096093,98096113,98096153,98096183,98096233,98096263,98096273,98096313,98096343,98096353,98096373,98096403,98096453,98096463,98096473,98096493,98096523,98096533,98096542,98096563,98096593,98096613,98096622,98096633,98096673,98096693,98096733,98096743,98096753,98096773,98096783,98096803,98096813,98096853,98096923,98096943,98096953,98097003,98097013,98097063,98097093,98097123,98097143,98097163,98097183,98097193,98097213,98097263,98097303,98097343,98097353,98097383,98097413,98097443,98097463,98097473,98097533,98097623,98097633,98097643,98097653,98097673,98097683,98097753,98097803,98097813,98097823,98097883,98099532,98099562,98099592,98099622,98099652,98099682,98099712,98099832,98100012,98100122,98100182,98100212,98100332,98100372,98100472,98100512,98100552,98100592,98100622,98100662,98101902,98101932,98101962,98102022,98102052,98102092,98102132,98102172,98102212,98102252,98102332,98102442,98102452,98102482,98102492,98102532,98103322,98103342,98103382,98103392,98103402,98103412,98103422,98103432,98103502,98103582,98103912,98103972,98104742,98104892,98104952,98104972,98105122,98105152,98105222,98105262,98105342,98105422,98105542,98105742,98105792,98105832,98105912,98106112,98106192,98106413,98106453,98106603,98106713,98106752,98106803,98107003,98107033,98107663,98107733,98107773,98107833,98107863,98108043,98108083,98108243,98108283,98109513,98109553,98109633,98109793,98110022,98110082,98110112,98110142,98110202,98110233,98110263,98110323,98110353,98110383,98110672,98110692,98110702,98110722,98110772,98110782,98110802,98110812,98110822,98110832,98110842,98110852,98110952,98110992,98111022,98111062,98111152,98111192,98111222,98111282,98111512,98111542,98111602,98111672,98111842,98111882,98111952,98112012,98112082,98112272,98112412,98112622,98113452,98115212,98115352,98115402,98115462,98115492,98115522,98115902,98115932,98115962,98116132,98116792,98116822,98116882,98116932,98116942,98116972,98116982,98117032,98117072,98117092,98117102,98117172,98117182,98117232,98117262,98117292,98117312,98117332,98117362,98117382,98117442,98117502,98117562,98117592,98118032,98118042,98118052,98118062,98118072,98118082,98118102,98118182,98118192,98118242,98118262,98118282,98118292,98118872,98118892,98118912,98118932,98118952,98118972,98118992,98119092,98119132,98119162,98119342,98119362,98119442,98119502,98119522,98187833"
222	0.141614446	2	[Drugresistance]	[LAMIVUDINE] [Adefovir]	19	95	Adefovir	19	95	LAMIVUDINE	45	23.4375	###############################################################################################################################################################################################################################################################
223	0.141279641	2	[Foetalexposureduringpregnancy]	[SUBUTEX] [SUBOXONE]	15	46.875	SUBOXONE	47	11.5196	SUBUTEX	26	30.5882	"105,164,091,105,231,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
228	0.138949018	2	[Offlabeluse]	[OLYSIO] [SOVALDI]	182	66.9118	SOVALDI	199	31.7384	OLYSIO	211	61.3372	"103551696,104277403,104493542,104727872,104760732,104871332,104879931,104889361,104902672,104963263,104978191,105006602,105092021,105093691,105093991,105133172,105133182,105173821,105188831,105207031,105207381,105219261,105247251,105254962,105277081,105292001,105308552,105308561,105321931,105326591,105370411,105370551,105370991,105386012,105390432,105399401,105423131,105431402,105459621,105471621,105489303,105490852,105496583,105530561,105542412,105543411,105555662,105557123,105558591,105585371,105682963,105717492,105730041,105793533,105794551,105811811,105826441,105859281,105885483,105885522,105941402,105942511,106067662,106115491,106175862,106175882,106179041,106196582,106234552,106236691,106384232,106390522,106406321,106419141,106419151,106435191,106438151,106438171,106450191,106496581,106497211,106497311,106497321,106497691,106498391,106498411,106499481,106499511,106499791,106499861,106499871,106499931,106500031,106500311,106525771,106566061,106566081,106596291,106631861,106632061,106789231"
233	0.136767319	2	[Cardiacfailurecongestive]	[LASIX] [AVANDIA]	89	37.2385	LASIX	120	10.0167	AVANDIA	1052	21.4694	"101,072,732,101,095,000,000,000,000,000,000,000,000,000,000"
234	0.136736232	2	[Coronaryarterydisease]	[Rosiglitazone] [AVANDIA]	15	83.3333	AVANDIA	904	18.449	Rosiglitazone	17	77.2727	"105204292,105217772,105229022,105229072,105229422,105229742,105283452,105384982,105385052,105385082,105385222,105385782,105543202,105545522,105570862,105570872,105632462,105633392,105633622,105634272,105634302,105712991,105713531,105714792,105720811,105795241,105799011,105856391,105856472,105867491,105867631,105994071,105994111,105994211,105994451,105994651,105994921,106025121,106172121,106172871,106272141,106272431,106464951,106465241,106502291,106502511,106502551,106502631,82398852,83517632,83921172,84011012,84029902,86200872,87177552,87208792,91323912,93289502,93668382,94587932,94607562,94877313"
237	0.135958643	2	[Diseaserecurrence]	[PREDNISONE] [AZATHIOPRINE]	27	34.1772	PREDNISONE	40	2.26886	AZATHIOPRINE	28	7.5067	"104,952,161,105,308,000,000,000,000,000,000,000,000,000,000"
238	0.135943498	2	[Myocardialinfarction]	[COREG] [AVANDIA]	76	57.5758	AVANDIA	2411	49.2041	COREG	84	30.2158	"101,078,182,101,082,000,000,000,000"
239	0.135928297	2	[Lethargy]	[VENTOLIN] [TIOTROPIUM]	10	90.9091	TIOTROPIUM	10	22.7273	VENTOLIN	10	2.15517	105444571
240	0.135877974	2	[Death]	[Erlotinib] [AVASTIN]	10	76.9231	Erlotinib	172	52.439	AVASTIN	54	9.04523	"10,505,552,286,941,400"
241	0.135281001	2	[Plateletcountdecreased]	[RIBAVIRIN] [PEGINTRON]	63	43.1507	PEGINTRON	79	28.8321	RIBAVIRIN	119	12.3444	105187811
242	0.13484267	2	[Drugineffective]	[PREDNISOLONE] [CICLOSPORIN]	24	36.3636	CICLOSPORIN	38	14.0221	PREDNISOLONE	51	4.66179	"105,014,212,105,014,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
245	0.134141753	2	[Impairedworkability] [Economicproblem]	[ANDROGEL] [TESTIM]	16	35.5556	TESTIM	20	22.2222	ANDROGEL	75	21.8023	"104976011,105048371,105050211,105156071,105156171,105299011,105522332,105540311,105541971,105617391,105664731,105669571,105777111,105835511,105835691,105835851,105836131,105927681,106058911,106198651,106204001,106382991,106383141,106409241,106428071,106446071,106638821,106638851,106638911,106718401,106720591,106723591,106778111,106836021"
251	0.132729994	2	[Secondaryimmunodeficiency]	[PREDNISONE] [Rituximab]	46	46.9388	PREDNISONE	46	2.60919	Rituximab	46	12.8134	105293472
260	0.127475514	2	[Toxicitytovariousagents]	[THALOMID] [DEXAMETHASONE]	10	31.25	DEXAMETHASONE	114	7.14734	THALOMID	15	15.3061	"104,970,511,104,970,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
271	0.123324462	2	[Drugineffective]	[REMICADE] [HUMIRA]	15	18.75	REMICADE	67	6.18652	HUMIRA	181	5.77905	"1,022,079,831,045,960,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
284	0.120026031	2	[Atrialfibrillation]	[COUMADIN] [AVANDIA]	12	15.5844	AVANDIA	163	3.32653	COUMADIN	34	3.14524	"101,074,812,101,075,000,000,000,000,000,000,000,000,000,000"
287	0.119138736	2	[Anaemia]	[RIBAVIRIN] [SOVRIAD]	34	36.1702	SOVRIAD	39	25.4902	RIBAVIRIN	180	18.6722	105224821
288	0.119137504	2	[Diseaseprogression]	[ELOXATIN] [XELODA]	16	80	ELOXATIN	90	73.1707	XELODA	51	14.4068	"105,068,251,106,146,000,000,000,000,000,000,000,000,000,000,000,000,000"
291	0.118312118	2	[Toxicitytovariousagents]	[DULOXETINE] [QUETIAPINE]	14	63.6364	DULOXETINE	46	42.9907	QUETIAPINE	23	7.87671	"105,088,561,105,852,000"
296	0.116850164	2	[Foetalexposureduringpregnancy] [Drugwithdrawalsyndromeneonatal]	[NICOTINE] [SUBOXONE]	13	39.3939	SUBOXONE	30	7.35294	NICOTINE	15	23.0769	"104,726,822,105,361,000,000,000,000"
297	0.116673692	2	[Drugineffective]	[ENBREL] [HUMIRA]	17	19.7674	HUMIRA	181	5.77905	ENBREL	102	3.65854	"104144042,104641952,104722394,104779493,105033861,105210342,105336061,105372881,105372892,105413811,105473421,105561561,105598651,105603411,105618591,105699191,105752142,105895391,105921161,106004461,106090471,106102512,106179831,106206591,106206781,106362321,106374202,106457701,106477201,106533691,106536921,106639621,106699911,106727451,106732931,106844211,74602085,88560266,88704052"
300	0.115461399	2	[Pneumonia]	[ALBUTEROL] [SPIRIVA]	14	24.1379	ALBUTEROL	33	12.5954	SPIRIVA	87	12.5	"105,884,021,105,933,000"
306	0.114657957	2	[Hypotension]	[AMLODIPINE] [ATENOLOL]	11	17.1875	ATENOLOL	24	3.08483	AMLODIPINE	58	4.2029	"104,966,961,105,035,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
311	0.113762587	2	[Myocardialinfarction]	[Rosiglitazone] [AVANDIA]	12	66.6667	AVANDIA	2411	49.2041	Rosiglitazone	13	59.0909	"105204292,105217772,105229022,105229072,105229422,105229742,105283452,105384982,105385052,105385082,105385222,105385782,105543202,105545522,105570862,105570872,105632462,105633392,105633622,105634272,105634302,105712991,105713531,105714792,105720811,105795241,105799011,105856391,105856472,105867491,105867631,105994071,105994111,105994211,105994451,105994651,105994921,106025121,106172121,106172871,106272141,106272431,106464951,106465241,106502291,106502511,106502551,106502631,82398852,83517632,83921172,84011012,84029902,86200872,87177552,87208792,91323912,93289502,93668382,94587932,94607562,94877313"
315	0.111617308	2	[Impairedworkability] [Pain] [Economicproblem]	[ANDROGEL] [TESTIM]	14	31.1111	TESTIM	18	20	ANDROGEL	68	19.7674	"104976011,105048371,105050211,105156071,105156171,105299011,105522332,105540311,105541971,105617391,105664731,105669571,105777111,105835511,105835691,105835851,105836131,105927681,106058911,106198651,106204001,106382991,106383141,106409241,106428071,106446071,106638821,106638851,106638911,106718401,106720591,106723591,106778111,106836021"
316	0.111552141	2	[Thromboticmicroangiopathy]	[TACROLIMUS] [METHYLPREDNISOLONE]	10	17.5439	TACROLIMUS	20	4.41501	METHYLPREDNISOLONE	12	2.97767	"105,153,512,105,153,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
323	0.110759173	2	[Anaemia]	[PEGASYS] [REBETOL]	12	31.5789	REBETOL	39	21.1957	PEGASYS	86	17.3737	103413152
329	0.108200842	2	[Impairedworkability] [Pain]	[ANDROGEL] [TESTIM]	15	33.3333	TESTIM	19	21.1111	ANDROGEL	79	22.9651	"104976011,105048371,105050211,105156071,105156171,105299011,105522332,105540311,105541971,105617391,105664731,105669571,105777111,105835511,105835691,105835851,105836131,105927681,106058911,106198651,106204001,106382991,106383141,106409241,106428071,106446071,106638821,106638851,106638911,106718401,106720591,106723591,106778111,106836021"
332	0.107405402	2	[Cardiacfailurecongestive]	[ASPIRIN] [COUMADIN]	14	18.6667	ASPIRIN	180	6.03217	COUMADIN	42	3.88529	"106,128,341,106,287,000"
335	0.10705065	2	[Nausea]	[PEGASYS] [SOVALDI]	10	19.6078	SOVALDI	48	7.6555	PEGASYS	26	5.25253	105169961
337	0.106798416	2	[Anaemia]	[RIBAVIRIN] [PEGINTRON]	52	35.6164	RIBAVIRIN	180	18.6722	PEGINTRON	73	26.6423	105187811
338	0.106390958	2	[Cerebrovascularaccident]	[ANDROGEL] [TESTIM]	16	35.5556	ANDROGEL	63	18.314	TESTIM	24	26.6667	"104976011,105048371,105050211,105156071,105156171,105299011,105522332,105540311,105541971,105617391,105664731,105669571,105777111,105835511,105835691,105835851,105836131,105927681,106058911,106198651,106204001,106382991,106383141,106409241,106428071,106446071,106638821,106638851,106638911,106718401,106720591,106723591,106778111,106836021"
341	0.105462123	2	[Drugresistance] [Genotypedrugresistancetest] [Viralinfection]	[LAMIVUDINE] [Adefovir]	17	85	LAMIVUDINE	29	15.1042	Adefovir	17	85	###############################################################################################################################################################################################################################################################
352	0.102780992	2	[Cardiacfailurecongestive]	[COREG] [AVANDIA]	41	31.0606	COREG	51	18.3453	AVANDIA	1052	21.4694	"101,078,182,101,082,000,000,000,000"
353	0.102730305	2	[Pyrexia]	[RIBAVIRIN] [PEGINTRON]	49	33.5616	PEGINTRON	60	21.8978	RIBAVIRIN	82	8.50622	105187811
354	0.102723583	2	[Unevaluableevent]	[POMALYST] [DEXAMETHASONE]	10	16.3934	POMALYST	16	5.22876	DEXAMETHASONE	93	5.83072	"10,528,387,110,541,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
356	0.102602452	2	[Plateletcountdecreased]	[RIBAVIRIN] [SOVRIAD]	41	43.617	RIBAVIRIN	119	12.3444	SOVRIAD	54	35.2941	105224821
