Rank,score,ADR,intr_drugs,intr_support,intr_conf,drug1,d1_support,d1_conf,drug2,d2_support,d2_conf
39,0.359968702,[Confusionalstate] [Dehydration] [Hyperpyrexia] [Hyperhidrosis] [Tremor] [Hypophagia] [Acidosis],[LACTULOSE] [DIAZEPAM],10,71.4286,[LACTULOSE],10,6.21118,[DIAZEPAM],10,2.27273
41,0.351555653,[Infusionrelatedreaction],[ACETAMINOPHEN] [METHYLPREDNISOLONE],14,41.1765,[METHYLPREDNISOLONE],21,5.21092,[ACETAMINOPHEN],20,5.42005
42,0.349911791,[Psychoticdisorder],[DIAZEPAM] [OLANZAPINE],12,46.1538,[DIAZEPAM],19,4.31818,[OLANZAPINE],17,5.82192
43,0.345435566,[Psychoticdisorder],[LORAZEPAM] [DIAZEPAM],10,47.619,[DIAZEPAM],19,4.31818,[LORAZEPAM],14,2.7833
44,0.34535976,[Whitebloodcellcountdecreased],[RIBAVIRIN] [MUCOSTA],12,50,[RIBAVIRIN],102,10.5809,[MUCOSTA],13,12.8713
45,0.341849266,[Drugabuse],[FLUOXETINE] [DIAZEPAM],10,66.6667,[DIAZEPAM],67,15.2273,[FLUOXETINE],23,6.74487
46,0.34048709,[Vomiting],[XELODA] [DEXAMETHASONE],11,84.6154,[DEXAMETHASONE],37,2.31975,[XELODA],30,8.47458
47,0.34033569,[Pancreaticcarcinoma],[JANUVIA] [VICTOZA],12,80,[JANUVIA],35,6.65399,[VICTOZA],40,19.5122
48,0.336261117,[Plateletcountdecreased] [Pyrexia],[PEGINTRON] [MUCOSTA],10,47.619,[PEGINTRON],34,12.4088,[MUCOSTA],11,10.8911
49,0.331897531,[Death],[AZTREONAMLYSINE] [TOBI],12,80,[AZTREONAMLYSINE],85,46.9613,[TOBI],35,33.9806
50,0.331165934,[Kaposissarcoma],[METHYLPREDNISOLONE] [CICLOSPORIN],21,46.6667,[METHYLPREDNISOLONE],22,5.45906,[CICLOSPORIN],21,7.74908
52,0.328142521,[Maternalexposurebeforepregnancy],[ENDOXANBAXTER] [LEUPRORELIN],16,94.1176,[ENDOXANBAXTER],16,11.8519,[LEUPRORELIN],16,38.0952
53,0.327854549,[Acutekidneyinjury],[BISOPROLOL] [SPIRONOLACTONE],10,45.4545,[SPIRONOLACTONE],34,9.13979,[BISOPROLOL],45,7.1656
54,0.31942669,[Drugresistance],[LAMIVUDINE] [ENTECAVIR],27,96.4286,[ENTECAVIR],32,58.1818,[LAMIVUDINE],45,23.4375
55,0.314775474,[Intramedullaryrodinsertion] [Femurfracture],[FOSAMAX] [ALENDRONATESODIUM],13,46.4286,[ALENDRONATESODIUM],13,8.55263,[FOSAMAX],16,5.71429
56,0.312416179,[Death],[DOXORUBICIN] [CYCLOPHOSPHAMIDEFORINJECTIONUSP],47,85.4545,[CYCLOPHOSPHAMIDEFORINJECTIONUSP],47,41.2281,[DOXORUBICIN],55,15.5367
57,0.301200996,[Toxicitytovariousagents],[IBUPROFEN] [DIAZEPAM],14,73.6842,[DIAZEPAM],67,15.2273,[IBUPROFEN],37,4.71338
58,0.299418879,[Diseaseprogression],[AVASTIN] [LEUCOVORIN],77,93.9024,[AVASTIN],132,22.1106,[LEUCOVORIN],79,57.6642
59,0.298361823,[Transientischaemicattack] [Cerebrovascularaccident],[LIPITOR] [CRESTOR],10,37.037,[LIPITOR],13,0.967982,[CRESTOR],11,1.3597
63,0.292577078,[Whitebloodcellcountdecreased],[LOXONIN] [RIBAVIRIN],10,41.6667,[LOXONIN],13,8.96552,[RIBAVIRIN],102,10.5809
64,0.291588948,[Acutekidneyinjury],[DIGOXIN] [LANSOPRAZOLE],10,45.4545,[LANSOPRAZOLE],14,2.4055,[DIGOXIN],18,4.52261
66,0.283649064,[Offlabeluse],[SOFOSBUVIR] [SIMEPREVIR],26,54.1667,[SOFOSBUVIR],56,23.7288,[SIMEPREVIR],38,17.2727
67,0.282532185,[Femurfracture],[FOSAMAX] [BONIVA],10,76.9231,[FOSAMAX],117,41.7857,[BONIVA],23,50
68,0.281992629,[Cysticfibrosis],[TOBIPODHALER] [TOBI],17,62.963,[TOBIPODHALER],33,33.6735,[TOBI],24,23.301
69,0.279683695,[Pyrexia],[RIBAVIRIN] [MUCOSTA],11,45.8333,[RIBAVIRIN],82,8.50622,[MUCOSTA],13,12.8713
70,0.279465081,[Druginteraction],[RITONAVIR] [DOCETAXEL],10,100,[DOCETAXEL],12,2.35294,[RITONAVIR],17,13.1783
71,0.279063801,[Myocardialinfarction],[PLAVIX] [ECOTRIN],14,56,[ECOTRIN],24,26.3736,[PLAVIX],313,19.0158
72,0.275856761,[Dyspnoea],[VENTOLINHFA] [SPIRIVA],10,41.6667,[VENTOLINHFA],37,12.892,[SPIRIVA],95,13.6494
73,0.275159101,[Hyperprolactinaemia] [Gynaecomastia] [Abnormalweightgain],[INVEGA] [RISPERDAL],319,94.9405,[RISPERDAL],319,52.9022,[INVEGA],319,72.009
74,0.275,[Femurfracture],[BONIVA] [ACTONEL],12,100,[BONIVA],23,50,[ACTONEL],13,12.5
75,0.27480814,[Drugabuse],[ALPRAZOLAM] [OXYCODONE],15,48.3871,[OXYCODONE],73,17.8922,[ALPRAZOLAM],69,12.7072
76,0.274796265,[Gynaecomastia],[INVEGA] [RISPERDAL],329,97.9167,[RISPERDAL],337,55.8872,[INVEGA],334,75.395
78,0.270436957,[Type2diabetesmellitus],[LIPITOR] [MULTIVITAMINS],18,78.2609,[MULTIVITAMINS],18,15.5172,[LIPITOR],558,41.5488
79,0.270212069,[Cerebrovascularaccident],[AGGRENOX] [AVANDIA],12,75,[AGGRENOX],18,43.9024,[AVANDIA],986,20.1224
80,0.269812033,[Femurfracture],[FOSAMAX] [ALENDRONATESODIUM],21,75,[FOSAMAX],117,41.7857,[ALENDRONATESODIUM],27,17.7632
81,0.264115439,[Conditionaggravated],[TOBIPODHALER] [TOBI],16,59.2593,[TOBI],22,21.3592,[TOBIPODHALER],31,31.6327
82,0.26260959,[Toxicitytovariousagents],[DULOXETINE] [DIAZEPAM],23,79.3103,[DULOXETINE],46,42.9907,[DIAZEPAM],67,15.2273
84,0.261857671,[Drugabuse],[PARACETAMOL] [METHADONE],12,70.5882,[PARACETAMOL],48,4.94336,[METHADONE],36,17.4757
85,0.261756112,[Drugineffective],[METHOTREXATE] [MYCOPHENOLATEMOFETIL],11,39.2857,[METHOTREXATE],90,5.63204,[MYCOPHENOLATEMOFETIL],26,8.28025
86,0.261402026,[Myocardialinfarction],[ASPIRIN] [DIANEALPD2WITHDEXTROSE],10,52.6316,[DIANEALPD2WITHDEXTROSE],32,7.44186,[ASPIRIN],474,15.8847
87,0.259109271,[Pyrexia],[PEGINTRON] [MUCOSTA],11,52.381,[PEGINTRON],60,21.8978,[MUCOSTA],13,12.8713
89,0.256409626,[Drugabuse],[OXYCODONE] [DIAZEPAM],12,44.4444,[OXYCODONE],73,17.8922,[DIAZEPAM],67,15.2273
90,0.253594548,[Galactorrhoea] [Hyperprolactinaemia] [Gynaecomastia] [Abnormalweightgain],[INVEGA] [RISPERDAL],294,87.5,[INVEGA],294,66.3657,[RISPERDAL],294,48.7562
91,0.25298581,[Druginteraction],[METFORMIN] [DIAZEPAM],10,62.5,[METFORMIN],38,2.24852,[DIAZEPAM],35,7.95455
92,0.250533083,[Prematurebaby],[PANTOPRAZOLE] [CITALOPRAM],11,28.9474,[CITALOPRAM],14,1.68472,[PANTOPRAZOLE],11,1.41935
94,0.248458007,[Restlessness] [Agitationneonatal],[CITALOPRAM] [SEROQUEL],11,39.2857,[SEROQUEL],11,2.6506,[CITALOPRAM],11,1.32371
96,0.246893383,[Prematurebaby] [Feedingdisorderneonatal],[PANTOPRAZOLE] [CITALOPRAM],10,26.3158,[CITALOPRAM],11,1.32371,[PANTOPRAZOLE],10,1.29032
97,0.246275096,[Myalgia],[SIMVASTATIN] [CRESTOR],14,63.6364,[SIMVASTATIN],253,12.9478,[CRESTOR],30,3.70828
98,0.246232715,[Myocardialinfarction],[PLAVIX] [METOPROLOL],56,45.5285,[PLAVIX],313,19.0158,[METOPROLOL],143,14.0196
100,0.243082786,[Dyspnoea],[CLOPIDOGREL] [RAMIPRIL],11,31.4286,[CLOPIDOGREL],31,5.75139,[RAMIPRIL],42,5.03597
101,0.241906522,[Bradyphrenia] [Bradykinesia],[LASIX] [PAROXETINE],10,62.5,[LASIX],21,1.75292,[PAROXETINE],17,6.69291
102,0.241598336,[Acutekidneyinjury],[LOSARTAN] [BENDROFLUMETHIAZIDE],12,57.1429,[LOSARTAN],26,4.59364,[BENDROFLUMETHIAZIDE],22,13.6646
103,0.241195907,[Drugresistance] [Genotypedrugresistancetest] [Viralinfection],[LAMIVUDINE] [ENTECAVIR],24,85.7143,[ENTECAVIR],28,50.9091,[LAMIVUDINE],29,15.1042
104,0.240671474,[Drugabuse],[OXYCODONE] [DEXTROMETHORPHAN],10,100,[OXYCODONE],73,17.8922,[DEXTROMETHORPHAN],31,67.3913
105,0.239502722,[Toxicitytovariousagents],[CODEINE] [DULOXETINE],11,78.5714,[DULOXETINE],46,42.9907,[CODEINE],24,13.4078
107,0.237069186,[Cysticfibrosis] [Conditionaggravated],[TOBIPODHALER] [TOBI],15,55.5556,[TOBIPODHALER],30,30.6122,[TOBI],20,19.4175
108,0.231726864,[Drugresistance],[ADEFOVIR] [LAMIVUDINE],11,91.6667,[LAMIVUDINE],45,23.4375,[ADEFOVIR],11,68.75
109,0.231320483,[Sinusitis],[PRIVIGEN] [DIPHENHYDRAMINE],12,35.2941,[DIPHENHYDRAMINE],12,6.31579,[PRIVIGEN],18,8.82353
110,0.226247279,[Toxicitytovariousagents] [Cardiacdisorder] [Substanceabuse],[SUBUTEX] [DIAZEPAM],10,83.3333,[SUBUTEX],11,12.9412,[DIAZEPAM],10,2.27273
111,0.22550587,[Pancreaticcarcinoma],[JANUVIA] [BYETTA],14,77.7778,[JANUVIA],35,6.65399,[BYETTA],38,28.7879
113,0.222147003,[Diseaseprogression],[ELOXATIN] [AVASTIN],85,95.5056,[ELOXATIN],90,73.1707,[AVASTIN],132,22.1106
114,0.2202998,[Death],[AZTREONAMLYSINE] [PULMOZYME],12,70.5882,[AZTREONAMLYSINE],85,46.9613,[PULMOZYME],14,19.7183
117,0.215449023,[Death],[NEULASTA] [DEXAMETHASONE],10,50,[NEULASTA],58,20,[DEXAMETHASONE],138,8.65204
120,0.213264168,[Diseaseprogression],[OXALIPLATIN] [Bevacizumab],18,29.5082,[Bevacizumab],23,7.69231,[OXALIPLATIN],33,7.95181
122,0.209671306,[Infusionrelatedreaction],[RITUXAN] [METHYLPREDNISOLONE],15,44.1176,[RITUXAN],21,12.3529,[METHYLPREDNISOLONE],21,5.21092
124,0.207399043,[Acutekidneyinjury],[SIMVASTATIN] [NAPROXEN],11,47.8261,[NAPROXEN],34,9.39227,[SIMVASTATIN],61,3.1218
127,0.202322553,[Diseaseprogression],[FLUOROURACIL] [LEUCOVORIN],77,82.7957,[FLUOROURACIL],87,16.3534,[LEUCOVORIN],79,57.6642
128,0.202235948,[Confusionalstate],[METFORMIN] [CLOZAPINE],12,57.1429,[METFORMIN],37,2.18935,[CLOZAPINE],14,8.97436
133,0.20012186,[Druginteraction],[METFORMIN] [CLOZAPINE],11,52.381,[CLOZAPINE],13,8.33333,[METFORMIN],38,2.24852
134,0.199740276,[Drugreactionwitheosinophiliaandsystemicsymptoms],[LEVETIRACETAM] [DAPSONE],11,100,[DAPSONE],18,43.9024,[LEVETIRACETAM],20,6.77966
136,0.197794456,[Myocardialinfarction],[PLAVIX] [TOPROLXL],46,50,[TOPROLXL],96,30,[PLAVIX],313,19.0158
137,0.197711268,[Unevaluableevent],[THALOMID] [DEXAMETHASONE],17,53.125,[DEXAMETHASONE],93,5.83072,[THALOMID],18,18.3673
138,0.196093919,[Myocardialinfarction],[PLAVIX] [COREG],36,50,[PLAVIX],313,19.0158,[COREG],84,30.2158
139,0.195574757,[Diseaserecurrence],[ENDOXAN1000MGPOUDREPOURSOLUTIONINJECTABLE] [Rituximab],11,91.6667,[ENDOXAN1000MGPOUDREPOURSOLUTIONINJECTABLE],37,23.4177,[Rituximab],12,3.34262
140,0.195563566,[Drugabuse],[ALPRAZOLAM] [MORPHINE],12,44.4444,[MORPHINE],93,22.3022,[ALPRAZOLAM],69,12.7072
141,0.195290785,[Drugineffective],[METHOTREXATE] [CICLOSPORIN],18,43.9024,[CICLOSPORIN],38,14.0221,[METHOTREXATE],90,5.63204
143,0.193104743,[Myocardialinfarction],[ASPIRIN] [AMIODARONE],17,36.9565,[AMIODARONE],25,11.1111,[ASPIRIN],474,15.8847
144,0.191959426,[Myocardialinfarction],[PLAVIX] [NITROGLYCERIN],70,63.0631,[PLAVIX],313,19.0158,[NITROGLYCERIN],119,43.75
146,0.188269967,[Plateletcountdecreased],[PEGINTRON] [SIMEPREVIR],49,49,[SIMEPREVIR],67,30.4545,[PEGINTRON],79,28.8321
147,0.187973113,[Myocardialinfarction],[PLAVIX] [LISINOPRIL],58,40.2778,[PLAVIX],313,19.0158,[LISINOPRIL],167,11.4071
148,0.187665472,[Drugabuse],[OXYCODONE] [MORPHINE],21,41.1765,[OXYCODONE],73,17.8922,[MORPHINE],93,22.3022
149,0.187469319,[Foetalexposureduringpregnancy],[NICOTINE] [SUBOXONE],19,57.5758,[NICOTINE],21,32.3077,[SUBOXONE],47,11.5196
150,0.185725371,[Cardiacfailurecongestive],[HYDRALAZINE] [AVANDIA],11,42.3077,[HYDRALAZINE],14,12.3894,[AVANDIA],1052,21.4694
151,0.185253451,[Plateletcountdecreased] [Pyrexia],[RIBAVIRIN] [MUCOSTA],10,41.6667,[MUCOSTA],11,10.8911,[RIBAVIRIN],39,4.04564
153,0.181431572,[Plateletcountdecreased],[LOXONIN] [PEGINTRON],10,50,[PEGINTRON],79,28.8321,[LOXONIN],19,13.1034
154,0.181170626,[Acutekidneyinjury],[ATORVASTATIN] [LEVOTHYROXINE],10,24.3902,[ATORVASTATIN],23,2.77443,[LEVOTHYROXINE],23,3.7037
155,0.178074721,[Toxicitytovariousagents],[CODEINE] [DIAZEPAM],10,33.3333,[CODEINE],24,13.4078,[DIAZEPAM],67,15.2273
156,0.177770381,[Drugabuse],[PERCOCET] [OXYCONTIN],12,44.4444,[PERCOCET],14,7.52688,[OXYCONTIN],101,18.9139
158,0.173906244,[Myocardialinfarction],[PLAVIX] [LOPRESSOR],26,45.614,[LOPRESSOR],65,28.6344,[PLAVIX],313,19.0158
159,0.173775324,[Drugabuse],[DELORAZEPAM] [MIRTAZAPINE],10,90.9091,[DELORAZEPAM],25,53.1915,[MIRTAZAPINE],35,9.04393
160,0.173343234,[Drugresistance] [Genotypedrugresistancetest] [Viralinfection],[ADEFOVIR] [LAMIVUDINE],10,83.3333,[LAMIVUDINE],29,15.1042,[ADEFOVIR],10,62.5
161,0.17277363,[Renalfailure],[FOLICACID] [SIMVASTATIN],10,19.6078,[FOLICACID],19,1.75763,[SIMVASTATIN],32,1.63767
162,0.172347368,[Myocardialinfarction],[ASPIRIN] [METOPROLOL],86,33.3333,[ASPIRIN],474,15.8847,[METOPROLOL],143,14.0196
164,0.171447613,[Death],[ENDOXAN100MGPOUDREPOURSOLUTIONINJECTABLE] [TAMOXIFEN],60,100,[TAMOXIFEN],62,42.7586,[ENDOXAN100MGPOUDREPOURSOLUTIONINJECTABLE],60,100
167,0.170442145,[Acutekidneyinjury],[BISOPROLOL] [FUROSEMIDE],17,25.7576,[BISOPROLOL],45,7.1656,[FUROSEMIDE],66,5.63621
170,0.168970896,[Hypotension],[LASIX] [RAMIPRIL],10,20.8333,[LASIX],37,3.08848,[RAMIPRIL],23,2.75779
171,0.168727322,[Myalgia],[OMEPRAZOLE] [LOSARTANPOTASSIUM],10,62.5,[OMEPRAZOLE],33,1.91194,[LOSARTANPOTASSIUM],12,10.8108
172,0.166912225,[Drugabuse],[CODEINE] [OXYCODONE],12,54.5455,[OXYCODONE],73,17.8922,[CODEINE],69,38.5475
173,0.16555171,[Crohnsdisease],[REMICADE] [HUMIRA],18,22.5,[HUMIRA],162,5.17241,[REMICADE],60,5.54017
175,0.164865014,[Myocardialinfarction],[PLAVIX] [ENALAPRIL],10,43.4783,[PLAVIX],313,19.0158,[ENALAPRIL],25,7.06215
177,0.164259982,[Myocardialinfarction],[ASPIRIN] [METOPROLOLTARTRATE],11,33.3333,[METOPROLOLTARTRATE],17,11.3333,[ASPIRIN],474,15.8847
178,0.164067531,[Impairedworkability],[ANDROGEL] [TESTIM],19,42.2222,[ANDROGEL],89,25.8721,[TESTIM],23,25.5556
179,0.163339353,[Offlabeluse] [Toxicanteriorsegmentsyndrome] [Circumstanceorinformationcapableofleadingtomedicationerror] [Intentionalproductuseissue],[BSS] [MOXEZA],10,100,[MOXEZA],10,100,[BSS],10,52.6316
180,0.163311355,[Type2diabetesmellitus],[FISHOIL] [LIPITOR],14,77.7778,[LIPITOR],558,41.5488,[FISHOIL],14,7.52688
182,0.16274349,[Drugdependence],[PERCOCET] [OXYCONTIN],10,37.037,[OXYCONTIN],88,16.4794,[PERCOCET],15,8.06452
186,0.161011223,[Confusionalstate],[AMANTADINE] [ROTIGOTINE],10,100,[AMANTADINE],10,22.2222,[ROTIGOTINE],15,93.75
187,0.159628211,[Substanceabuse],[OXYCONTIN] [HEROIN],10,76.9231,[OXYCONTIN],34,6.36704,[HEROIN],21,37.5
188,0.158000456,[Drugabuse],[MORPHINE] [DIAZEPAM],13,38.2353,[MORPHINE],93,22.3022,[DIAZEPAM],67,15.2273
191,0.157133787,[Crohnsdisease],[HUMIRA] [AZATHIOPRINE],13,20.9677,[AZATHIOPRINE],19,5.09383,[HUMIRA],162,5.17241
196,0.155011758,[Febrileneutropenia],[Obinutuzumab] [Bendamustine],10,43.4783,[Obinutuzumab],13,28.2609,[Bendamustine],14,26.9231
198,0.152459868,[Dysphagia],[SIMVASTATIN] [CITALOPRAM],11,18.0328,[SIMVASTATIN],26,1.3306,[CITALOPRAM],13,1.56438
201,0.151738641,[Dyspnoea],[ISOSORBIDEMONONITRATE] [SIMVASTATIN],11,45.8333,[ISOSORBIDEMONONITRATE],13,15.6627,[SIMVASTATIN],82,4.19652
203,0.149951175,[Substanceabuse],[OXYCONTIN] [MARIJUANA],11,91.6667,[OXYCONTIN],34,6.36704,[MARIJUANA],14,48.2759
205,0.149877113,[Cardiacfailurecongestive],[LASIX] [DIGOXIN],16,26.2295,[LASIX],120,10.0167,[DIGOXIN],30,7.53769
208,0.149209129,[Syncope] [Dermatitisexfoliative] [Swellingface] [Eyeswelling] [Rash],[SPIRIVA] [FLUTICASONE],10,71.4286,[SPIRIVA],10,1.43678,[FLUTICASONE],10,11.1111
209,0.149002814,[Anaemia],[RIBAVIRIN] [SIMEPREVIR],57,41.3043,[SIMEPREVIR],60,27.2727,[RIBAVIRIN],180,18.6722
211,0.147362938,[Drugabuse],[OXYCODONE] [PARACETAMOL],25,45.4545,[OXYCODONE],73,17.8922,[PARACETAMOL],48,4.94336
213,0.14688072,[Lossofconsciousness],[SINEMETCR] [SINEMET],12,85.7143,[SINEMET],16,17.0213,[SINEMETCR],12,75
219,0.142949784,[Myocardialinfarction],[PLAVIX] [ASPIRIN],185,33.1541,[PLAVIX],313,19.0158,[ASPIRIN],474,15.8847
220,0.142666122,[Breastcancer],[XELODA] [LetrozoleUnknown],12,92.3077,[XELODA],33,9.32203,[LetrozoleUnknown],14,63.6364
222,0.141614446,[Drugresistance],[LAMIVUDINE] [Adefovir],19,95,[Adefovir],19,95,[LAMIVUDINE],45,23.4375
223,0.141279641,[Foetalexposureduringpregnancy],[SUBUTEX] [SUBOXONE],15,46.875,[SUBOXONE],47,11.5196,[SUBUTEX],26,30.5882
224,0.140953341,[Drugabuse],[LASIX] [REQUIP],11,61.1111,[LASIX],29,2.4207,[REQUIP],11,15.493
226,0.139525613,[Conditionaggravated],[TOBIPODHALER] [PULMOZYME],11,44,[PULMOZYME],13,18.3099,[TOBIPODHALER],31,31.6327
227,0.13941743,[Cerebrovascularaccident],[NORVASC] [LISINOPRIL],13,22.4138,[LISINOPRIL],97,6.62568,[NORVASC],44,7.81528
228,0.138949018,[Offlabeluse],[OLYSIO] [SOVALDI],182,66.9118,[SOVALDI],199,31.7384,[OLYSIO],211,61.3372
230,0.138463696,[Cardiacfailurecongestive],[LASIX] [COREG],25,33.7838,[LASIX],120,10.0167,[COREG],51,18.3453
231,0.138076763,[Cardiacfailurecongestive],[DIGOXIN] [AVANDIA],23,41.0714,[DIGOXIN],30,7.53769,[AVANDIA],1052,21.4694
232,0.138000681,[Dyspnoea],[SIMVASTATIN] [DOXAZOSIN],10,25,[SIMVASTATIN],82,4.19652,[DOXAZOSIN],10,7.46269
233,0.136767319,[Cardiacfailurecongestive],[LASIX] [AVANDIA],89,37.2385,[LASIX],120,10.0167,[AVANDIA],1052,21.4694
234,0.136736232,[Coronaryarterydisease],[Rosiglitazone] [AVANDIA],15,83.3333,[AVANDIA],904,18.449,[Rosiglitazone],17,77.2727
236,0.136320198,[Myocardialinfarction],[ASPIRIN] [CLONIDINE],11,31.4286,[CLONIDINE],19,8.83721,[ASPIRIN],474,15.8847
237,0.135958643,[Diseaserecurrence],[PREDNISONE] [AZATHIOPRINE],27,34.1772,[PREDNISONE],40,2.26886,[AZATHIOPRINE],28,7.5067
238,0.135943498,[Myocardialinfarction],[COREG] [AVANDIA],76,57.5758,[AVANDIA],2411,49.2041,[COREG],84,30.2158
239,0.135928297,[Lethargy],[VENTOLIN] [TIOTROPIUM],10,90.9091,[TIOTROPIUM],10,22.7273,[VENTOLIN],10,2.15517
240,0.135877974,[Death],[Erlotinib] [AVASTIN],10,76.9231,[Erlotinib],172,52.439,[AVASTIN],54,9.04523
241,0.135281001,[Plateletcountdecreased],[RIBAVIRIN] [PEGINTRON],63,43.1507,[PEGINTRON],79,28.8321,[RIBAVIRIN],119,12.3444
242,0.13484267,[Drugineffective],[PREDNISOLONE] [CICLOSPORIN],24,36.3636,[CICLOSPORIN],38,14.0221,[PREDNISOLONE],51,4.66179
