Rank,Score
518,0.069847777
519,0.069478846
520,0.069398123
521,0.069329829
522,0.069309691
523,0.069185095
524,0.069180553
525,0.068722961
526,0.068686763
527,0.068581198
528,0.068480461
529,0.068405989
530,0.068398451
531,0.067979677
532,0.067893877
533,0.067557736
534,0.067533606
535,0.067078444
536,0.066577683
537,0.066428083
538,0.06640758
539,0.066027954
540,0.065956193
541,0.065736723
542,0.065508979
543,0.06542314
544,0.065195278
545,0.065115659
546,0.065099218
547,0.065044034
548,0.064821213
549,0.064711555
550,0.064686111
551,0.064408897
552,0.064398432
553,0.064371248
554,0.064233381
555,0.063761626
556,0.063761626
557,0.063616999
558,0.063612888
559,0.063420383
560,0.063308835
561,0.063245748
562,0.063239377
563,0.062881525
564,0.062728338
565,0.062342274
566,0.062320388
567,0.062294695
568,0.062146914
569,0.061997865
570,0.061939858
571,0.061717082
572,0.061652876
573,0.061541278
574,0.061377975
575,0.061337704
576,0.061304487
577,0.061048285
578,0.060952342
579,0.060948049
580,0.060840214
581,0.060672892
582,0.06064457
583,0.060606
584,0.060600392
585,0.060501584
586,0.060034277
587,0.059890156
588,0.0597978
589,0.059622835
590,0.059588337
591,0.059226948
592,0.059003336
593,0.058908816
594,0.058748953
595,0.058721907
596,0.05864834
597,0.058621073
598,0.058584546
599,0.058542444
600,0.058465031
601,0.05838584
602,0.057977133
603,0.057895781
604,0.057891026
605,0.057785385
606,0.057744104
607,0.057708889
608,0.057625239
609,0.057585334
610,0.057557935
611,0.057519853
612,0.057395588
613,0.057185515
614,0.057180377
615,0.057045758
616,0.056916092
617,0.056828713
618,0.05675438
619,0.056376449
620,0.056143329
621,0.056095645
622,0.056066871
623,0.055779441
624,0.055767238
625,0.055667495
626,0.05557516
627,0.055499286
628,0.05549539
629,0.055432676
630,0.055406527
631,0.055393022
632,0.055363064
633,0.055172733
634,0.054962108
635,0.054668875
636,0.054617148
637,0.054536717
638,0.054519907
639,0.054470895
640,0.054192531
641,0.054155162
642,0.054132134
643,0.053917302
644,0.053912663
645,0.05387137
646,0.053793077
647,0.053728092
648,0.053586617
649,0.053526247
650,0.053507555
651,0.05345674
652,0.053436451
653,0.0531818
654,0.053115847
655,0.052822691
656,0.052754098
657,0.052736932
658,0.052606099
659,0.052553541
660,0.052100597
661,0.05183031
662,0.051750506
663,0.051649819
664,0.051495629
665,0.051330141
666,0.051244252
667,0.050907817
668,0.050875585
669,0.050814675
670,0.050725437
671,0.050578217
672,0.050538685
673,0.050507281
674,0.050326472
675,0.050230109
676,0.0502185
677,0.050063294
678,0.0499223
679,0.049877062
680,0.049812614
681,0.049800155
682,0.049718159
683,0.049647394
684,0.04950422
685,0.049503231
686,0.049462543
687,0.049369045
688,0.049214706
689,0.049096184
690,0.049030451
691,0.048892144
692,0.048739378
693,0.048686464
694,0.048678888
695,0.048585195
696,0.048379437
697,0.048313707
698,0.048074921
699,0.047998922
700,0.047996458
701,0.047995268
702,0.047979283
703,0.047697687
704,0.047576049
705,0.047445746
706,0.047338857
707,0.04729473
708,0.04720953
709,0.04714236
710,0.047061196
711,0.047046124
712,0.046980608
713,0.046866877
714,0.046742691
715,0.046674792
716,0.046653157
717,0.046644191
718,0.046480457
719,0.046445003
720,0.046432539
721,0.046247642
722,0.046115033
723,0.046043764
724,0.046017119
725,0.04601592
726,0.045964255
727,0.045874103
728,0.045874103
729,0.045604797
730,0.045491813
731,0.045424229
732,0.045386324
733,0.045330375
734,0.045262604
735,0.045244979
736,0.044964427
737,0.044868493
738,0.0447942
739,0.044792825
740,0.044752694
741,0.044731122
742,0.044649575
743,0.044635424
744,0.044291808
745,0.044228187
746,0.044172664
747,0.044156119
748,0.044143275
749,0.044111
750,0.044103835
751,0.044079777
752,0.044071571
753,0.044018502
754,0.04384324
755,0.043746021
756,0.043704387
757,0.043596053
758,0.043570982
759,0.043556678
760,0.043461448
761,0.043432773
762,0.043201419
763,0.04316471
764,0.043128714
765,0.043004243
766,0.042930216
767,0.042818184
768,0.04271502
769,0.042519674
770,0.042437484
771,0.042321805
772,0.042312382
773,0.042301622
774,0.042259872
775,0.042259872
776,0.042035523
777,0.041992766
778,0.041918541
779,0.041915925
780,0.041915761
781,0.041589485
782,0.041437356
783,0.041404152
784,0.041393555
785,0.041376457
786,0.041370203
787,0.041358506
788,0.041304461
789,0.041189358
790,0.04106498
791,0.041015363
792,0.041012789
793,0.040967862
794,0.040955259
795,0.040855123
796,0.040766181
797,0.040660464
798,0.04065798
799,0.040564777
800,0.040408289
801,0.040198949
802,0.040165054
803,0.040164286
804,0.040018992
805,0.040000926
806,0.039945925
807,0.039918163
808,0.039817014
809,0.039808461
810,0.039802796
811,0.039760461
812,0.039693196
813,0.039628497
814,0.039581072
815,0.039497265
816,0.039425803
817,0.03933826
818,0.039324769
819,0.039113349
820,0.039093504
821,0.039043222
822,0.038997935
823,0.038690105
824,0.038612368
825,0.038598602
826,0.038390509
827,0.038379997
828,0.038328267
829,0.038287569
830,0.038265556
831,0.03819315
832,0.038134661
833,0.038105738
834,0.037931207
835,0.037930789
836,0.037914664
837,0.037808955
838,0.037774423
839,0.037699053
840,0.037647637
841,0.037630364
842,0.037310571
843,0.037164087
844,0.037101604
845,0.037065467
846,0.037063627
847,0.036816402
848,0.036773927
849,0.036749682
850,0.036625216
851,0.03653144
852,0.036449983
853,0.036403448
854,0.0363711
855,0.03632312
856,0.036251522
857,0.036122138
858,0.036044834
859,0.035834932
860,0.035741478
861,0.035692384
862,0.035522487
863,0.035521581
864,0.035506276
865,0.035489726
866,0.03537871
867,0.035338579
868,0.035283977
869,0.035241801
870,0.03520367
871,0.035194109
872,0.035092567
873,0.035029791
874,0.035027792
875,0.034986524
876,0.034828977
877,0.034806718
878,0.034569807
879,0.034565846
880,0.034511889
881,0.034472328
882,0.034342618
883,0.03420114
884,0.03416955
885,0.034149879
886,0.034133013
887,0.034108708
888,0.034076748
889,0.033999056
890,0.033952134
891,0.033853491
892,0.033844168
893,0.033802315
894,0.033734788
895,0.033709607
896,0.033658848
897,0.033574815
898,0.033550516
899,0.03354159
900,0.033539711
901,0.033518347
902,0.033447836
903,0.033433697
904,0.033406348
905,0.033381488
906,0.033247678
907,0.033207641
908,0.033207641
909,0.033153019
910,0.033118194
911,0.033097594
912,0.033077258
913,0.033058635
914,0.033024572
915,0.033006638
916,0.032948532
917,0.032787222
918,0.032740536
919,0.03268166
920,0.032619152
921,0.032605727
922,0.032585098
923,0.032581944
924,0.032292142
925,0.032255691
926,0.032199721
927,0.032111841
928,0.032050616
929,0.031966202
930,0.031894075
931,0.031876089
932,0.031844925
933,0.031776773
934,0.031752417
935,0.031726096
936,0.031691789
937,0.031651269
938,0.031643918
939,0.031619878
940,0.031455957
941,0.031368451
942,0.03136206
943,0.031355983
944,0.031341531
945,0.031341484
946,0.031325899
947,0.031244647
948,0.031231066
949,0.031165442
950,0.031110939
951,0.031096366
952,0.03095534
953,0.030935849
954,0.030844256
955,0.030772628
956,0.030772434
957,0.030763781
958,0.030748969
959,0.030667926
960,0.030663118
961,0.030620357
962,0.030456867
963,0.030441473
964,0.030435646
965,0.030398939
966,0.030320315
967,0.030285936
968,0.030232716
969,0.030195319
970,0.030195319
971,0.030190766
972,0.030122562
973,0.029799021
974,0.029713194
975,0.029660724
976,0.029590943
977,0.02954508
978,0.029335006
979,0.029152299
980,0.029054277
981,0.029053383
982,0.028930056
983,0.0289197
984,0.028905223
985,0.028904256
986,0.0288754
987,0.028675008
988,0.028668802
989,0.028502001
990,0.028476318
991,0.028420002
992,0.028251938
993,0.027974365
994,0.027973497
995,0.027922976
996,0.027819322
997,0.027799355
998,0.027768884
999,0.027639167
1000,0.027543075
1001,0.027501384
1002,0.027458276
1003,0.027352253
1004,0.027314997
1005,0.027276173
1006,0.027217291
1007,0.027202066
1008,0.027156007
1009,0.027056665
1010,0.026935345
1011,0.026921692
1012,0.026794688
1013,0.026731593
1014,0.02671518
1015,0.026675588
1016,0.026656677
1017,0.026607328
1018,0.026583753
1019,0.026564595
1020,0.026468439
1021,0.026441331
1022,0.026412996
1023,0.026163799
1024,0.026128178
1025,0.026038487
1026,0.025898102
1027,0.025865098
1028,0.025831469
1029,0.025779864
1030,0.0257322
1031,0.025706025
1032,0.025679621
1033,0.025523522
1034,0.025490383
1035,0.025467636
1036,0.02544286
1037,0.025360328
1038,0.025329861
1039,0.025197634
1040,0.0250681
1041,0.025043593
1042,0.024961653
1043,0.024938664
1044,0.02490844
1045,0.024855005
1046,0.024814421
1047,0.024779069
1048,0.024722414
1049,0.024701928
1050,0.024695287
1051,0.024660084
1052,0.024637366
1053,0.024635071
1054,0.024549169
1055,0.024511655
1056,0.024501916
1057,0.024450656
1058,0.024433687
1059,0.024399549
1060,0.024341961
1061,0.024252073
1062,0.024244013
1063,0.024236218
1064,0.024189851
1065,0.024039915
1066,0.023964812
1067,0.023914752
1068,0.02391322
1069,0.023912521
1070,0.02390074
1071,0.023786649
1072,0.023758313
1073,0.023733336
1074,0.023645721
1075,0.023637002
1076,0.02363177
1077,0.023605355
1078,0.02354034
1079,0.023496299
1080,0.023482109
1081,0.023337744
1082,0.02321208
1083,0.023199078
1084,0.023194467
1085,0.023180989
1086,0.023166121
1087,0.023063072
1088,0.023040385
1089,0.022938402
1090,0.022891749
1091,0.022875609
1092,0.022842478
1093,0.022824801
1094,0.02281653
1095,0.022787613
1096,0.022776319
1097,0.022766509
1098,0.022680363
1099,0.022671827
1100,0.022575873
1101,0.02256147
1102,0.022559472
1103,0.02250693
1104,0.022480986
1105,0.02246944
1106,0.022396834
1107,0.022360581
1108,0.022236171
1109,0.022171992
1110,0.02216734
1111,0.022097641
1112,0.022090585
1113,0.022021701
1114,0.021826967
1115,0.02181298
1116,0.021799243
1117,0.02171715
1118,0.021675334
1119,0.021630125
1120,0.021600153
1121,0.021561657
1122,0.021531471
1123,0.021522671
1124,0.021502525
1125,0.021453532
1126,0.021322424
1127,0.021244376
1128,0.021225499
1129,0.021217441
1130,0.02118862
1131,0.021179882
1132,0.021045038
1133,0.020986787
1134,0.020925379
1135,0.020827419
1136,0.020771751
1137,0.020596894
1138,0.020569719
1139,0.020546092
1140,0.020414519
1141,0.020395561
1142,0.02028149
1143,0.020255487
1144,0.020208155
1145,0.020194648
1146,0.020180903
1147,0.020163086
1148,0.020141645
1149,0.020091262
1150,0.020017786
1151,0.02001522
1152,0.019912394
1153,0.019845422
1154,0.019791651
1155,0.01978265
1156,0.019767555
1157,0.019608284
1158,0.019551708
1159,0.019546528
1160,0.019540799
1161,0.01950096
1162,0.019446672
1163,0.019386973
1164,0.019310087
1165,0.019117583
1166,0.019096329
1167,0.019085036
1168,0.019084615
1169,0.019082348
1170,0.019006575
1171,0.019005507
1172,0.018939745
1173,0.018848232
1174,0.018841425
1175,0.018829476
1176,0.01881033
1177,0.018805584
1178,0.018796991
1179,0.018673988
1180,0.018611618
1181,0.018600579
1182,0.018582821
1183,0.018391553
1184,0.01831423
1185,0.018270748
1186,0.018263228
1187,0.018216316
1188,0.018181073
1189,0.018148454
1190,0.018088522
1191,0.018012759
1192,0.017983715
1193,0.017975884
1194,0.01794313
1195,0.017914438
1196,0.017873417
1197,0.017864717
1198,0.017817391
1199,0.017751986
1200,0.017730096
1201,0.017727485
1202,0.017715771
1203,0.017675477
1204,0.017652973
1205,0.017513068
1206,0.017503374
1207,0.017487829
1208,0.017440034
1209,0.017243892
1210,0.017239855
1211,0.017173002
1212,0.017093746
1213,0.016913009
1214,0.016911177
1215,0.016861368
1216,0.0168499
1217,0.016783907
1218,0.016736934
1219,0.016659053
1220,0.016590346
1221,0.016572556
1222,0.01652463
1223,0.016522203
1224,0.016460706
1225,0.016302382
1226,0.016245653
1227,0.015924318
1228,0.015906703
1229,0.015839282
1230,0.015745802
1231,0.015684442
1232,0.01566166
1233,0.015609229
1234,0.015598255
1235,0.015523491
1236,0.015429576
1237,0.015405328
1238,0.01538389
1239,0.015379261
1240,0.015332694
1241,0.015327556
1242,0.015256308
1243,0.015210993
1244,0.015208132
1245,0.015195886
1246,0.015163734
1247,0.015152984
1248,0.015059142
1249,0.014996951
1250,0.014902645
1251,0.014901882
1252,0.014864693
1253,0.014763499
1254,0.014680655
1255,0.014652309
1256,0.014638676
1257,0.01448255
1258,0.014445697
1259,0.014377275
1260,0.014365159
1261,0.014336034
1262,0.014250818
1263,0.014168088
1264,0.01412884
1265,0.013976768
1266,0.013962754
1267,0.013950727
1268,0.013949059
1269,0.013932514
1270,0.013893927
1271,0.013768344
1272,0.01368482
1273,0.013676156
1274,0.013666603
1275,0.013660251
1276,0.013565821
1277,0.013524748
1278,0.013520175
1279,0.013486901
1280,0.013485857
1281,0.013448257
1282,0.013319834
1283,0.013265989
1284,0.0131728
1285,0.013170373
1286,0.013073009
1287,0.012920236
1288,0.012893733
1289,0.01289155
1290,0.01283362
1291,0.01280978
1292,0.012782073
1293,0.012748503
1294,0.012745679
1295,0.012728476
1296,0.012592445
1297,0.0125875
1298,0.012485608
1299,0.012484535
1300,0.012472443
1301,0.012438708
1302,0.012371573
1303,0.01235161
1304,0.012344558
1305,0.012330699
1306,0.012250958
1307,0.012229851
1308,0.012173805
1309,0.012125436
1310,0.01189155
1311,0.011826121
1312,0.011772837
1313,0.011645366
1314,0.01148919
1315,0.011385226
1316,0.011260696
1317,0.011248078
1318,0.011203284
1319,0.011134905
1320,0.011114608
1321,0.01109545
1322,0.011083977
1323,0.010993026
1324,0.010970549
1325,0.010942817
1326,0.010903628
1327,0.010895368
1328,0.010891231
1329,0.010857777
1330,0.010793124
1331,0.01076589
1332,0.010764283
1333,0.010736988
1334,0.01063905
1335,0.010473853
1336,0.01045542
1337,0.01043924
1338,0.010405315
1339,0.010389762
1340,0.010206454
1341,0.010205119
1342,0.010193191
1343,0.010046516
1344,0.01003677
1345,0.009903382
1346,0.009774914
1347,0.009763874
1348,0.009723851
1349,0.009709536
1350,0.00968955
1351,0.009681409
1352,0.009667931
1353,0.009667061
1354,0.009648773
1355,0.009637519
1356,0.00962246
1357,0.009576267
1358,0.009540521
1359,0.009531601
1360,0.009499802
1361,0.009361402
1362,0.009315406
1363,0.009239887
1364,0.009201573
1365,0.009180267
1366,0.009064296
1367,0.009054928
1368,0.009023795
1369,0.009018853
1370,0.008945808
1371,0.008925202
1372,0.00886737
1373,0.008866041
1374,0.008572442
1375,0.008566624
1376,0.008547428
1377,0.00850648
1378,0.008479272
1379,0.008456269
1380,0.008443447
1381,0.00843302
1382,0.008429763
1383,0.00837937
1384,0.008369925
1385,0.008353875
1386,0.008184925
1387,0.008145407
1388,0.008103217
1389,0.008034282
1390,0.008007465
1391,0.00797595
1392,0.0078963
1393,0.007855587
1394,0.007850337
1395,0.007834012
1396,0.007794824
1397,0.00774922
1398,0.007588621
1399,0.007548133
1400,0.007546947
1401,0.007542866
1402,0.007499411
1403,0.007431185
1404,0.007425092
1405,0.007393231
1406,0.007375452
1407,0.007351898
1408,0.00725679
1409,0.007252595
1410,0.007225404
1411,0.007181637
1412,0.007122646
1413,0.007032302
1414,0.007000316
1415,0.006951919
1416,0.006950991
1417,0.006870417
1418,0.00685769
1419,0.006820004
1420,0.006807207
1421,0.006777309
1422,0.006719537
1423,0.006711834
1424,0.006639538
1425,0.006623932
1426,0.006616631
1427,0.006575528
1428,0.006560484
1429,0.006510624
1430,0.006465397
1431,0.006448765
1432,0.006423425
1433,0.006423425
1434,0.006390948
1435,0.006390185
1436,0.006377868
1437,0.006337961
1438,0.006314273
1439,0.006300273
1440,0.006253767
1441,0.006224763
1442,0.006098268
1443,0.006083786
1444,0.006011416
1445,0.005980427
1446,0.005887099
1447,0.005878377
1448,0.005875043
1449,0.00587259
1450,0.005746283
1451,0.00573336
1452,0.005725249
1453,0.005702268
1454,0.005657275
1455,0.005650567
1456,0.005631548
1457,0.005625432
1458,0.005617593
1459,0.005538857
1460,0.005455115
1461,0.005398183
1462,0.005397542
1463,0.005372556
1464,0.005277637
1465,0.005276383
1466,0.005230903
1467,0.005221207
1468,0.005167113
1469,0.005133999
1470,0.005099455
1471,0.005032127
1472,0.004957598
1473,0.004942137
1474,0.004884125
1475,0.004857037
1476,0.004845165
1477,0.004845165
1478,0.004787011
1479,0.004711243
1480,0.004692952
1481,0.004585191
1482,0.004584014
1483,0.004560476
1484,0.004546927
1485,0.004524112
1486,0.004486046
1487,0.004454129
1488,0.00443887
1489,0.004417427
1490,0.004399691
1491,0.004387723
1492,0.004365575
1493,0.004364481
1494,0.004348842
1495,0.004329359
1496,0.004251715
1497,0.004245966
1498,0.004223681
1499,0.004194844
1500,0.00409756
1501,0.004033823
1502,0.00396025
1503,0.003935711
1504,0.003906682
1505,0.003846254
1506,0.003841417
1507,0.003742895
1508,0.003711576
1509,0.00368614
1510,0.003624732
1511,0.003514715
1512,0.00350732
1513,0.003472441
1514,0.003467361
1515,0.003452389
1516,0.003401635
1517,0.00336254
1518,0.0033402
1519,0.00333266
1520,0.003322482
1521,0.003231735
1522,0.003193688
1523,0.003192262
1524,0.003189072
1525,0.003171393
1526,0.003164649
1527,0.003162012
1528,0.003143193
1529,0.003135623
1530,0.003110955
1531,0.003097395
1532,0.003082525
1533,0.003050306
1534,0.003041723
1535,0.003030382
1536,0.00302494
1537,0.003021013
1538,0.003017225
1539,0.003009822
1540,0.002982021
1541,0.002966005
1542,0.002924178
1543,0.002910302
1544,0.002866411
1545,0.002859584
1546,0.002835855
1547,0.002808729
1548,0.002788056
1549,0.002749143
1550,0.002736217
1551,0.00271939
1552,0.002694825
1553,0.002692328
1554,0.00269125
1555,0.002673407
1556,0.002660183
1557,0.00265744
1558,0.002614213
1559,0.002551198
1560,0.002546525
1561,0.002543447
1562,0.002506885
1563,0.002499365
1564,0.002496522
1565,0.002478042
1566,0.002453587
1567,0.002434555
1568,0.002400747
1569,0.002390811
1570,0.002288093
1571,0.002279375
1572,0.002257823
1573,0.00223917
1574,0.002203463
1575,0.002198977
1576,0.002193903
1577,0.002184667
1578,0.002180265
1579,0.002177482
1580,0.0021716
1581,0.002165326
1582,0.002051356
1583,0.002021551
1584,0.001989213
1585,0.001954536
1586,0.001918373
1587,0.001899595
1588,0.001845468
1589,0.001779823
1590,0.001712424
1591,0.001704529
1592,0.001675677
1593,0.001577322
